_step,critic/rewards/mean,critic/score/mean,tool_call_counts/mean,re_search/search_calls/mean,num_turns/mean,response_length/mean,actor/loss,actor/kl_loss,actor/grad_norm,actor/pg_loss,re_search/budget_utilization,response/aborted_ratio
1,0,0,0.8,0.8,2.8,1031.5999755859375,-0.0008013377082534134,0,0.018747476860880852,0,,0
2,0,0,1,1,3,1273.4000244140625,-0.0009833292569965124,0.0009919906733557582,0.0222872756421566,0,,0
3,0,0,0.8,0.8,2.8,854.2000122070312,-0.000696831033565104,0.000888799550011754,0.018459878861904144,0,,0
4,0,0,1,1,3,1158.199951171875,-0.0008470552274957299,0.000992712564766407,0.02082854136824608,0,,0
5,0,0,1,1,3,1378.800048828125,-0.0011051251785829663,0.000986131839454174,0.025566237047314644,0,,0
6,0,0,0.8,0.8,2.8,1047,-0.0009131231927312911,0.000973462825641036,0.021633168682456017,0,,0
7,0,0,1,1,3,1551.199951171875,-0.001045574084855616,0.001110504730604589,0.022109346464276314,0,,0
8,0,0,0.8,0.8,2.8,1253.5999755859375,-0.0009600741905160248,0.0009309829911217093,0.021289639174938202,0,,0
9,0,0,1,1,3,1100.199951171875,-0.0008744365186430514,0.0011237506987527013,0.020067133009433746,0,,0
10,0,0,0.8,0.8,2.8,926.2000122070312,-0.0009232675656676292,0.0011637136340141296,0.0225424412637949,0,,0
11,0,0,1,1,3,1317.4000244140625,-0.0009639151976443827,0.0011780682252719998,0.023547058925032616,0,,0
12,0,0,0.8,0.8,2.8,972.5999755859375,-0.0008903852431103587,0.001593831111676991,0.020213313400745392,0,,0
13,0,0,1,1,3,1076.5999755859375,-0.0007920357747934759,0.0016707935137674212,0.020566560328006744,0,,0
14,0,0,1,1,3,1167,-0.0007777080754749477,0.0017666134517639875,0.019920211285352707,0,,0
15,0,0,1,1,3,1046.5999755859375,-0.0009587451932020485,0.002127372194081545,0.02316335029900074,0,,0
16,0,0,1,1,3,1081.800048828125,-0.0008006567368283868,0.0014934188220649958,0.018598003312945366,0,,0
17,0,0,0.8,0.8,2.8,1055.5999755859375,-0.0009524273918941617,0.002413817448541522,0.024105817079544067,0,,0
18,0,0,0.8,0.8,2.8,1289.199951171875,-0.0011670442763715982,0.003000380005687475,0.02530597522854805,0,,0
19,0,0,0.8,0.8,2.8,1065.199951171875,-0.0010774414986371994,0.0043466524221003056,0.023109659552574158,0,,0
20,0,0,0.8,0.8,2.8,1243.4000244140625,-0.0009278299403376877,0.004465322010219097,0.01851758174598217,0,,0
21,0,0,0.8,0.8,2.8,1011.5999755859375,-0.0008857848588377237,0.005124002229422331,0.020052889361977577,0,,0
22,0,0,1,1,3,1227.4000244140625,-0.0010559133952483535,0.005449993070214987,0.023451298475265503,0,,0
23,0,0,1,1,3,1000.2000122070312,-0.0009706476121209562,0.005867107771337032,0.022631337866187096,0,,0
24,0,0,1,1,3,1061,-0.001137115410529077,0.009234069846570492,0.023677153512835503,0,,0
25,0,0,1,1,3,1579.199951171875,-0.0010750892106443644,0.007472282508388162,0.02271592803299427,0,,0
26,0,0,1,1,3,1243.5999755859375,-0.0009291177266277373,0.008608438074588776,0.02133302204310894,0,,0
27,0,0,1,1,3,1331,-0.0010610823519527912,0.009672539308667183,0.022774824872612953,0,,0
28,0,0,1,1,3,1377.5999755859375,-0.00101057393476367,0.009053682908415794,0.020958811044692993,0,,0
29,0,0,1,1,3,1344.800048828125,-0.0009819251717999578,0.008955433964729309,0.0202404223382473,0,,0
30,0,0,0.6,0.6,2.6,784.7999877929688,-0.0008311850833706558,0.01125543937087059,0.019153667613863945,0,,0
31,0,0,1.6,1.6,3.6,1460.5999755859375,-0.0011965566081926227,0.012930681463330984,0.025815146043896675,0,,0
32,0,0,0.8,0.8,2.8,981.7999877929688,-0.0011542865540832281,0.013794481754302979,0.024616433307528496,0,,0
33,0,0,1,1,3,1165.4000244140625,-0.0009721899405121803,0.018018636852502823,0.018464991822838783,0,,0
34,0,0,0.8,0.8,2.8,1265,-0.001081602182239294,0.02017269842326641,0.020877955481410027,0,,0
35,0,0,0.8,0.8,2.8,922.4000244140625,-0.0010871730046346784,0.026295216754078865,0.02289949730038643,0,,0
36,0,0,0.8,0.8,2.8,909.7999877929688,-0.0010680878767743707,0.030165985226631165,0.022937754169106483,0,,0
37,0,0,1,1,3,1104,-0.001089403871446848,0.04022869095206261,0.023513754829764366,0,,0
38,0,0,1,1,3,1024.800048828125,-0.001222269143909216,0.0397871695458889,0.02673538587987423,0,,0
39,0,0,0.8,0.8,2.8,1083,-0.0013844782952219248,0.038840051740407944,0.02801840752363205,0,,0
40,0,0,0.6,0.6,2.6,889.7999877929688,-0.0012257486814633012,0.04937666282057762,0.02371617779135704,0,,0
41,0,0,1,1,3,1003.7999877929688,-0.0015607967507094145,0.04021085053682327,0.03345252200961113,0,,0
42,0,0,0.6,0.6,2.6,905.5999755859375,-0.0011904285056516528,0.04200449585914612,0.02472764253616333,0,,0
43,0,0,0.8,0.8,2.8,1148.5999755859375,-0.0012249835999682546,0.05363546311855316,0.023328371345996857,0,,0
44,0,0,1,1,3,1052,-0.001524401013739407,0.06329768151044846,0.02964533306658268,0,,0
45,0,0,1,1,3,1278,-0.001577743561938405,0.052560579031705856,0.03024301491677761,0,,0
46,0,0,0.6,0.6,2.6,811,-0.0014490759931504726,0.0803651213645935,0.02896897681057453,0,,0
47,0,0,0.8,0.8,2.8,995.7999877929688,-0.0013791668461635709,0.06403687596321106,0.02813561074435711,0,,0
48,0,0,0.8,0.8,2.8,1113,-0.001598398550413549,0.06952745467424393,0.029690628871321678,0,,0
49,0,0,0.8,0.8,2.8,1075.199951171875,-0.0014643965987488627,0.08630406111478806,0.026943689212203026,0,,0
50,0,0,1,1,3,1099.5999755859375,-0.0012325952993705869,0.08419901132583618,0.02568947523832321,0,,0
51,0,0,0.8,0.8,2.8,924,-0.0014113123761489987,0.09640046954154968,0.027985481545329094,0,,0
52,0,0,1,1,3,1207,-0.001466694287955761,0.07758573442697525,0.026879241690039635,0,,0
53,0,0,1,1,3,1219.199951171875,-0.001494896481744945,0.07333970814943314,0.027708036825060844,0,,0
54,0,0,0.8,0.8,2.8,1151.4000244140625,-0.0018054537940770388,0.06680615246295929,0.032418373972177505,0,,0
55,0,0,0.8,0.8,2.8,1167,-0.0016809083754196763,0.084862120449543,0.03382547199726105,0,,0
56,0,0,1,1,3,1375,-0.0019822686444967985,0.08711749315261841,0.03501656651496887,0,,0
57,0,0,0.8,0.8,2.8,1228,-0.0016511757858097553,0.07763583958148956,0.03213230147957802,0,,0
58,0,0,0.4,0.4,2.4,684.2000122070312,-0.0016896995948627591,0.12268022447824478,0.030221205204725266,0,,0
59,0,0,1,1,3,1257.4000244140625,-0.001932674553245306,0.11220245808362961,0.035061199218034744,0,,0
60,0,0,0.8,0.8,2.8,1017.7999877929688,-0.001676066662184894,0.12288893014192581,0.03155183047056198,0,,0
61,0,0,0.8,0.8,2.8,1007.2000122070312,-0.0019504418596625328,0.1404017060995102,0.033504731953144073,0,,0
62,0,0,0.6,0.6,2.6,881,-0.002329898066818714,0.14305247366428375,0.04166106507182121,0,,0
63,0,0,1,1,3,1230,-0.002271118573844433,0.14654622972011566,0.038561686873435974,0,,0
64,0,0,0.8,0.8,2.8,987.4000244140625,-0.0023278400767594576,0.1488698571920395,0.041842490434646606,0,,0
65,0,0,1,1,3,1101.199951171875,-0.0024344816338270903,0.19345423579216003,0.04128742963075638,0,,0
66,0,0,0.8,0.8,2.8,928.5999755859375,-0.0025690437760204077,0.23308439552783966,0.043696679174900055,0,,0
67,0,0,0.6,0.6,2.6,871.2000122070312,-0.0026354719884693623,0.20164337754249573,0.04482652619481087,0,,0
68,0,0,1,1,3,1198.199951171875,-0.003009077627211809,0.2091696411371231,0.048386987298727036,0,,0
69,0,0,0.8,0.8,2.8,897.4000244140625,-0.002757851267233491,0.23058469593524933,0.04538419842720032,0,,0
70,0,0,0.8,0.8,2.8,1048.5999755859375,-0.0028459166642278433,0.24339115619659424,0.0462961308658123,0,,0
71,0,0,0.6,0.6,2.6,755.2000122070312,-0.003064595628529787,0.2653466463088989,0.048062730580568314,0,,0
72,0,0,1,1,3,948,-0.00302289635874331,0.3408293128013611,0.04600724205374718,0,,0
