_step,critic/rewards/mean,critic/score/mean,tool_call_counts/mean,re_search/search_calls/mean,num_turns/mean,response_length/mean,actor/loss,actor/kl_loss,actor/grad_norm,actor/pg_loss,re_search/budget_utilization,response/aborted_ratio
1,0.12339285761117935,0.12339285761117935,0.775,0.775,2.775,979.125,0.04303167760372162,0,2.59671688079834,0.04303167760372162,0.239044189453125,0
2,0.08249999582767487,0.08249999582767487,0.725,0.725,2.725,896,0.018877848982810974,0.0009528614609735087,2.615438222885132,0.018876895308494568,0.21875,0
3,0.05833332985639572,0.05833332985639572,0.625,0.625,2.625,939.2750244140625,0.11584450304508209,0.001007345985271968,2.4520509243011475,0.11584349622717127,0.229315185546875,0
4,0.0892857164144516,0.0892857164144516,0.85,0.85,2.85,1102.5999755859375,-0.018086787313222885,0.0010171848261961713,2.191077709197998,-0.018087805714458227,0.269189453125,0
5,0.11166666448116302,0.11166666448116302,0.95,0.95,2.95,1165.175048828125,0.046380288898944855,0.0009590154077159241,1.894196629524231,0.04637932684272528,0.284466552734375,0
6,0.07000000774860382,0.07000000774860382,0.725,0.725,2.725,962.6500244140625,0.1019139289855957,0.0012291471648495644,2.2055609226226807,0.10191269591450691,0.23502197265625,0
7,0.09750000387430191,0.09750000387430191,1.075,1.075,3.075,1265.25,0.11982312798500061,0.0013533152232412249,1.9355382919311523,0.11982177756726742,0.30889892578125,0
8,0.11249999701976776,0.11249999701976776,0.975,0.975,2.975,1170.5,0.005743000656366348,0.0014659322769148275,2.444322347640991,0.005741538014262915,0.2857666015625,0
9,0.07250000536441803,0.07250000536441803,0.75,0.75,2.75,971.6749877929688,-0.09136591106653214,0.001712059834972024,2.1064136028289795,-0.09136762283742428,0.237225341796875,0
10,0.12208332866430283,0.12208332866430283,1.025,1.025,3.025,1220.0999755859375,0.059980012476444244,0.0022307932376861572,1.9328526258468628,0.059977779164910316,0.2978759765625,0
11,0.09250000864267349,0.09250000864267349,0.95,0.95,2.95,1081.75,0.08238445967435837,0.002367843233514577,2.51179838180542,0.0823820922523737,0.26409912109375,0
12,0.11107143014669418,0.11107143014669418,1.1,1.1,3.1,1280.9000244140625,-0.041197650134563446,0.0029535868670791388,1.8365941047668457,-0.041200611274689436,0.3127197265625,0
13,0.08500000089406967,0.08500000089406967,1.25,1.25,3.25,1349.9000244140625,0.05921458452939987,0.00371112153516151,2.0717992782592773,0.05921087274327874,0.3295654296875,0
14,0.13500000536441803,0.13500000536441803,1.125,1.125,3.125,1313.699951171875,0.1070096492767334,0.0036144458572380245,2.314296245574951,0.1070060282945633,0.3207275390625,0
15,0.08999999612569809,0.08999999612569809,1.35,1.35,3.35,1439.9000244140625,0.034712404012680054,0.003602013282943517,1.883227825164795,0.03470880351960659,0.3515380859375,0
16,0.20750001072883606,0.20750001072883606,1.275,1.275,3.275,1406.4749755859375,0.08087222278118134,0.003067121608182788,1.6634584665298462,0.08086915127933025,0.343377685546875,0
17,0.1900000125169754,0.1900000125169754,1,1,3,1097.2249755859375,0.03455634415149689,0.005515371391084045,2.7583723068237305,0.03455082199070603,0.267877197265625,0
18,0.11416666209697723,0.11416666209697723,1.2,1.2,3.2,1371.300048828125,-0.05559071898460388,0.00556849708664231,2.003499984741211,-0.05559629073832184,0.3347900390625,0
19,0.1366666853427887,0.1366666853427887,1.025,1.025,3.025,1102.0999755859375,-0.004890872165560722,0.006058981001842767,1.5840179920196533,-0.004896932980045676,0.2690673828125,0
20,0.18000000715255737,0.18000000715255737,1.175,1.175,3.175,1288.8499755859375,-0.025289002805948257,0.0049013105453923345,1.6784324645996094,-0.025293905287981033,0.31466064453125,0
21,0.20383116602897644,0.20383116602897644,1.15,1.15,3.15,1324.574951171875,-0.035552673041820526,0.004195193469058722,1.802902102470398,-0.03555686748586595,0.323382568359375,0
22,0.21000000834465027,0.21000000834465027,1.325,1.325,3.325,1437.25,0.06400060653686523,0.0045657772570848465,1.869284749031067,0.06399604212492704,0.35089111328125,0
23,0.12694445252418518,0.12694445252418518,1.275,1.275,3.275,1350.375,0.007963884621858597,0.0058363956632092595,1.7837550640106201,0.007958046160638332,0.329681396484375,0
24,0.12395833432674408,0.12395833432674408,1.2,1.2,3.2,1350.6500244140625,0.023950468748807907,0.004960547899827361,1.7123616933822632,0.023945510387420654,0.32974853515625,0
25,0.13750001788139343,0.13750001788139343,1.25,1.25,3.25,1320.4749755859375,0.18616022169589996,0.005320371652487665,2.3514411449432373,0.18615488754585385,0.322381591796875,0
26,0.0925000011920929,0.0925000011920929,1.45,1.45,3.45,1502.300048828125,0.0940423458814621,0.006217509682755917,1.7558833360671997,0.09403613023459911,0.3667724609375,0
