_step,critic/rewards/mean,critic/score/mean,tool_call_counts/mean,re_search/search_calls/mean,num_turns/mean,response_length/mean,actor/loss,actor/kl_loss,actor/grad_norm,actor/pg_loss,re_search/budget_utilization,response/aborted_ratio
1,0.6248106360435486,0.6248106360435486,0,0,2,761.5499877929688,1.150357723236084,0,3.7023541927337646,1.1503576636314392,0.18592529296875,0
5,0.5792772769927979,0.5792772769927979,0,0,2,771.2000122070312,0.5629056692123413,0.0011241831816732883,2.946774959564209,0.5629045814275742,0.18828125,0
8,0.6579602956771851,0.6579602956771851,0,0,2,584.4500122070312,0.8100980520248413,0.0007910262793302536,3.17303204536438,0.8100972771644592,0.14268798828125,0
9,0.6214989423751831,0.6214989423751831,0,0,2,841.9500122070312,0.7120437622070312,0.0009157418680842966,2.8551313877105713,0.712042823433876,0.20555419921875,0
10,0.6257058382034302,0.6257058382034302,0,0,2,857.6500244140625,0.7246257662773132,0.00084619244444184,2.5771870613098145,0.7246249318122864,0.20938720703125,0
12,0.5549254417419434,0.5549254417419434,0,0,2,1070.550048828125,0.74535071849823,0.0008136480755638331,1.6063731908798218,0.7453498840332031,0.26136474609375,0
13,0.6570426821708679,0.6570426821708679,0,0,2,612.25,0.7643693685531616,0.001192161231301725,3.1745166778564453,0.7643681913614273,0.14947509765625,0
15,0.5922033190727234,0.5922033190727234,0,0,2,1066.25,0.8761184215545654,0.0010024512885138392,2.6203083992004395,0.8761174380779266,0.26031494140625,0
18,0.5898635983467102,0.5898635983467102,0,0,2,983.2000122070312,1.0976171493530273,0.0012770676403306425,3.013047218322754,1.0976157784461975,0.2400390625,0
28,0.6604646444320679,0.6604646444320679,0,0,2,457.45001220703125,0.8424608707427979,0.0014252628898248076,3.7448198795318604,0.8424594402313232,0.11168212890625,0
29,0.6950566172599792,0.6950566172599792,0,0,2,391.29998779296875,0.10726348310709,0.0018120716558769345,3.5498039722442627,0.10726167261600494,0.0955322265625,0
31,0.5845257043838501,0.5845257043838501,0,0,2,864.5999755859375,0.6289448142051697,0.0019159104558639228,2.685699939727783,0.6289429068565369,0.211083984375,0
33,0.6235283017158508,0.6235283017158508,0,0,2,779.3499755859375,1.1235313415527344,0.0010281199938617647,1.7934762239456177,1.1235302686691284,0.19027099609375,0
34,0.6245311498641968,0.6245311498641968,0,0,2,603.2000122070312,1.1256961822509766,0.001453724515158683,2.817185878753662,1.1256948113441467,0.147265625,0
37,0.5882073044776917,0.5882073044776917,0,0,2,954.8499755859375,1.0598838329315186,0.0017996132373809814,2.8883261680603027,1.059882014989853,0.23311767578125,0
39,0.6630319356918335,0.6630319356918335,0,0,2,549.5499877929688,0.7221288681030273,0.002051065326668322,3.5588488578796387,0.722126804292202,0.13416748046875,0
41,0.6947465538978577,0.6947465538978577,0,0,2,229.10000610351562,0.418281227350235,0.0032542813569307327,5.232743740081787,0.4182779788970947,0.0559326171875,0
42,0.6919497847557068,0.6919497847557068,0,0,2,437.5,0.9762025475502014,0.002724400954321027,4.531135559082031,0.9761998057365417,0.1068115234375,0
43,0.6977206468582153,0.6977206468582153,0,0,2,189.35000610351562,0.23740410804748535,0.0034649325534701347,5.160780906677246,0.23740063607692719,0.04622802734375,0
44,0.6526886224746704,0.6526886224746704,0,0,2,596.4000244140625,0.7887422442436218,0.0020207028137519956,2.8234121799468994,0.7887402661144733,0.14560546875,0
45,0.6598127484321594,0.6598127484321594,0,0,2,701.7000122070312,0.31663161516189575,0.0024791304022073746,2.5264554023742676,0.31662915647029877,0.1713134765625,0
46,0.6580933332443237,0.6580933332443237,0,0,2,405.1499938964844,0.9451037645339966,0.004004465416073799,4.377859115600586,0.9450997710227966,0.09891357421875,0
48,0.6942036747932434,0.6942036747932434,0,0,2,349.1000061035156,0.7866432666778564,0.0037097614258527756,4.950368404388428,0.7866395711898804,0.0852294921875,0
49,0.6939139366149902,0.6939139366149902,0,0,2,184.8000030517578,0.45479387044906616,0.004815059248358011,5.4201226234436035,0.45478904247283936,0.0451171875,0
53,0.6986163854598999,0.6986163854598999,0,0,2,163.9499969482422,-0.01668633334338665,0.0060956524685025215,5.509387016296387,-0.016692429780960083,0.04002685546875,0
56,0.65623939037323,0.65623939037323,0,0,2,144.39999389648438,0.37444794178009033,0.006541794631630182,6.41860294342041,0.37444138526916504,0.03525390625,0
58,0.6956775188446045,0.6956775188446045,0,0,2,178.89999389648438,0.7971583604812622,0.006605002097785473,6.21303653717041,0.7971517443656921,0.0436767578125,0
59,0.6619964838027954,0.6619964838027954,0,0,2,466.8999938964844,0.9146584868431091,0.004271187353879213,4.410984039306641,0.9146541953086853,0.1139892578125,0
61,0.6983927488327026,0.6983927488327026,0,0,2,203.4499969482422,0.6640965938568115,0.006288281641900539,5.7348222732543945,0.6640903353691101,0.04967041015625,0
62,0.6591518521308899,0.6591518521308899,0,0,2,407.6000061035156,0.27001455426216125,0.005277053453028202,3.317523956298828,0.27000927925109863,0.09951171875,0
65,0.6969752311706543,0.6969752311706543,0,0,2,418.1000061035156,0.7672345042228699,0.004712631925940514,3.93025541305542,0.7672297954559326,0.1020751953125,0
66,0.6961513757705688,0.6961513757705688,0,0,2,140.3000030517578,0.45016878843307495,0.012662715278565884,6.314301490783691,0.4501561224460602,0.0342529296875,0
67,0.6534318923950195,0.6534318923950195,0,0,2,307.54998779296875,0.09872323274612427,0.006500209216028452,4.285427093505859,0.09871673583984375,0.07508544921875,0
68,0.6990295648574829,0.6990295648574829,0,0,2,182.0500030517578,-0.18166817724704742,0.009560978971421719,4.600133895874023,-0.18167774379253387,0.04444580078125,0
73,0.6965066194534302,0.6965066194534302,0,0,2,125.94999694824219,0.28484511375427246,0.017622387036681175,6.810602188110352,0.28482750058174133,0.03074951171875,0
75,0.697704017162323,0.697704017162323,0,0,2,329.8999938964844,0.22744998335838318,0.009405628778040409,4.346217632293701,0.22744058072566986,0.0805419921875,0
78,0.69643235206604,0.69643235206604,0,0,2,104.5999984741211,0.4847261905670166,0.025431431829929352,9.553192138671875,0.4847007691860199,0.025537109375,0
79,0.6990938782691956,0.6990938782691956,0,0,2,120.5,1.0218135118484497,0.021483613178133965,9.127058982849121,1.0217920541763306,0.0294189453125,0
82,0.6995475888252258,0.6995475888252258,0,0,2,218.14999389648438,0.052946873009204865,0.02113213762640953,3.3464341163635254,0.05292573943734169,0.05325927734375,0
86,0.6995617747306824,0.6995617747306824,0,0,2,65.4000015258789,-0.20318996906280518,0.07201451808214188,7.9615325927734375,-0.20326198637485504,0.015966796875,0
88,0.6996046900749207,0.6996046900749207,0,0,2,154.8000030517578,1.038169503211975,0.026225615292787552,8.002432823181152,1.038143277168274,0.03779296875,0
89,0.6572071313858032,0.6572071313858032,0,0,2,105.6500015258789,0.8124101161956787,0.037582989782094955,8.800703048706055,0.8123725056648254,0.02579345703125,0
91,0.6986013054847717,0.6986013054847717,0,0,2,66.55000305175781,0.44523534178733826,0.058630384504795074,10.6719970703125,0.44517672061920166,0.01624755859375,0
94,0.6998807191848755,0.6998807191848755,0,0,2,45.400001525878906,-0.05423026159405708,0.11280396580696106,6.47553825378418,-0.05434306710958481,0.011083984375,0
