_step,critic/rewards/mean,critic/score/mean,tool_call_counts/mean,re_search/search_calls/mean,num_turns/mean,response_length/mean,actor/loss,actor/kl_loss,actor/grad_norm,actor/pg_loss,re_search/budget_utilization,response/aborted_ratio
1,-0.054069291800260544,-0.054069291800260544,0,0,2,487.1000061035156,-0.036042314022779465,0,2.9727110862731934,-0.036042314022779465,0.1189208984375,0
5,-0.08703037351369858,-0.08703037351369858,0,0,2,265.95001220703125,0.14135043323040009,0.0011799444910138845,4.744686603546143,0.14134925603866577,0.06492919921875,0
8,-0.07305265963077545,-0.07305265963077545,0,0,2,495.1499938964844,-0.153394415974617,0.0007486816612072289,2.507206916809082,-0.1533951610326767,0.12088623046875,0
9,-0.13816040754318237,-0.13816040754318237,0,0,2,217.89999389648438,-0.1452939361333847,0.0011294411960989237,4.623103141784668,-0.14529506862163544,0.0531982421875,0
10,-0.10119354724884033,-0.10119354724884033,0,0,2,406.1000061035156,0.4183405041694641,0.0010620270622894168,3.608400583267212,0.41833943128585815,0.0991455078125,0
12,-0.09136046469211578,-0.09136046469211578,0,0,2,592.75,0.05464279279112816,0.0010141362436115742,2.35569429397583,0.05464177951216698,0.14471435546875,0
13,-0.07244789600372314,-0.07244789600372314,0,0,2,530.9500122070312,-0.03577642887830734,0.0011274272110313177,2.3737175464630127,-0.035777557641267776,0.12962646484375,0
15,-0.06408726423978806,-0.06408726423978806,0,0,2,128.39999389648438,0.1503242552280426,0.0020821020007133484,6.401200294494629,0.15032216906547546,0.03134765625,0
18,-0.059654880315065384,-0.059654880315065384,0,0,2,670.5499877929688,0.6756808757781982,0.0012565864017233253,3.1472506523132324,0.675679624080658,0.16370849609375,0
28,-0.03762893006205559,-0.03762893006205559,0,0,2,266.3500061035156,-0.000985683873295784,0.0020738716702908278,2.313819169998169,-0.000987757695838809,0.06502685546875,0
29,-0.0391397587954998,-0.0391397587954998,0,0,2,451.1499938964844,-0.14426027238368988,0.0020588745828717947,3.1004083156585693,-0.14426232874393463,0.11014404296875,0
31,-0.05031551793217659,-0.05031551793217659,0,0,2,494.6499938964844,-0.2639985978603363,0.002118476666510105,2.522336483001709,-0.26400071382522583,0.12076416015625,0
33,-0.03860440105199814,-0.03860440105199814,0,0,2,494.79998779296875,0.11056872457265854,0.002144855447113514,3.1833767890930176,0.11056657880544662,0.12080078125,0
34,-0.03568461164832115,-0.03568461164832115,0,0,2,376.79998779296875,0.02927512302994728,0.0031778577249497175,2.42995548248291,0.029271945357322693,0.0919921875,0
37,-0.05792829394340515,-0.05792829394340515,0,0,2,161.5500030517578,0.3087542653083801,0.004481226205825806,6.0606865882873535,0.308749794960022,0.03944091796875,0
39,-0.006430549081414938,-0.006430549081414938,0,0,2,160.4499969482422,0.3272387683391571,0.006195442751049995,6.03074312210083,0.32723256945610046,0.03917236328125,0
