_step,critic/rewards/mean,critic/score/mean,tool_call_counts/mean,re_search/search_calls/mean,num_turns/mean,response_length/mean,actor/loss,actor/kl_loss,actor/grad_norm,actor/pg_loss,re_search/budget_utilization,response/aborted_ratio
1,0,0,0.65,0.65,2.65,760.6500244140625,0,0,0,0,0.18570556640625,0
2,0,0,0.6,0.6,2.6,840.8499755859375,0,0,0,0,0.20528564453125,0
3,0,0,0.55,0.55,2.55,767.7999877929688,0,0,0,0,0.187451171875,0
4,0,0,0.9,0.9,2.9,1006.7000122070312,0,0,0,0,0.2457763671875,0
5,0,0,0.5,0.5,2.5,886.2999877929688,0,0,0,0,0.2163818359375,0
6,0,0,0.8,0.8,2.8,939.25,0,0,0,0,0.22930908203125,0
7,0,0,0.75,0.75,2.75,1160.550048828125,0,0,0,0,0.28333740234375,0
8,0,0,0.65,0.65,2.65,842.9500122070312,0,0,0,0,0.20579833984375,0
9,0,0,0.55,0.55,2.55,863.5499877929688,0,0,0,0,0.21082763671875,0
10,0,0,0.75,0.75,2.75,961.6500244140625,0,0,0,0,0.23477783203125,0
11,0,0,0.6,0.6,2.6,747.75,0,0,0,0,0.18255615234375,0
12,0,0,0.75,0.75,2.75,965.75,0,0,0,0,0.23577880859375,0
13,0,0,0.95,0.95,2.95,1239.800048828125,0,0,0,0,0.302685546875,0
14,0,0,0.7,0.7,2.7,953.75,0,0,0,0,0.23284912109375,0
15,0,0,0.6,0.6,2.6,839.7000122070312,0,0,0,0,0.2050048828125,0
16,0,0,0.5,0.5,2.5,774.7000122070312,0,0,0,0,0.1891357421875,0
17,0,0,0.75,0.75,2.75,946.5999755859375,0,0,0,0,0.231103515625,0
18,0,0,0.75,0.75,2.75,991.9000244140625,0,0,0,0,0.2421630859375,0
19,0,0,0.5,0.5,2.5,746.5,0,0,0,0,0.1822509765625,0
20,0,0,0.55,0.55,2.55,786.25,0,0,0,0,0.19195556640625,0
21,0,0,0.5,0.5,2.5,736.9500122070312,0,0,0,0,0.17991943359375,0
22,0,0,0.7,0.7,2.7,822.4500122070312,0,0,0,0,0.20079345703125,0
23,0,0,0.4,0.4,2.4,886.1500244140625,0,0,0,0,0.21634521484375,0
24,0,0,0.85,0.85,2.85,1076.949951171875,0,0,0,0,0.26292724609375,0
25,0,0,0.8,0.8,2.8,1006.7000122070312,0,0,0,0,0.2457763671875,0
26,0,0,0.75,0.75,2.75,987,0,0,0,0,0.240966796875,0
27,0,0,0.75,0.75,2.75,1066.0999755859375,0,0,0,0,0.2602783203125,0
28,0,0,0.4,0.4,2.4,835.2000122070312,0,0,0,0,0.20390625,0
29,0,0,0.85,0.85,2.85,1083,0,0,0,0,0.264404296875,0
30,0,0,0.7,0.7,2.7,944.3499755859375,0,0,0,0,0.23055419921875,0
31,0,0,0.6,0.6,2.6,896.8499755859375,0,0,0,0,0.21895751953125,0
32,0,0,0.7,0.7,2.7,1008.5,0,0,0,0,0.2462158203125,0
33,0,0,0.7,0.7,2.7,847.4000244140625,0,0,0,0,0.206884765625,0
34,0,0,0.7,0.7,2.7,866.6500244140625,0,0,0,0,0.21158447265625,0
35,0,0,0.7,0.7,2.7,916.5,0,0,0,0,0.2237548828125,0
36,0,0,0.5,0.5,2.5,716.5499877929688,0,0,0,0,0.17493896484375,0
37,0,0,0.65,0.65,2.65,782.8499755859375,0,0,0,0,0.19112548828125,0
38,0,0,0.75,0.75,2.75,884.9000244140625,0,0,0,0,0.2160400390625,0
39,0,0,0.7,0.7,2.7,864.8499755859375,0,0,0,0,0.21114501953125,0
40,0,0,0.7,0.7,2.7,955,0,0,0,0,0.233154296875,0
41,0,0,0.6,0.6,2.6,821.5999755859375,0,0,0,0,0.2005859375,0
42,0,0,0.8,0.8,2.8,972.5999755859375,0,0,0,0,0.237451171875,0
43,0,0,0.85,0.85,2.85,1038.75,0,0,0,0,0.25360107421875,0
44,0,0,0.55,0.55,2.55,951.4500122070312,0,0,0,0,0.23228759765625,0
45,0,0,0.55,0.55,2.55,834.8499755859375,0,0,0,0,0.20382080078125,0
46,0,0,0.45,0.45,2.45,700.2000122070312,0,0,0,0,0.170947265625,0
47,0,0,0.55,0.55,2.55,767.5,0,0,0,0,0.1873779296875,0
48,0,0,0.65,0.65,2.65,856.9000244140625,0,0,0,0,0.2092041015625,0
49,0,0,0.65,0.65,2.65,864.3499755859375,0,0,0,0,0.21102294921875,0
50,0,0,0.75,0.75,2.75,904.5999755859375,0,0,0,0,0.220849609375,0
51,0,0,0.95,0.95,2.95,1068.6500244140625,0,0,0,0,0.26090087890625,0
52,0,0,0.8,0.8,2.8,1068.25,0,0,0,0,0.26080322265625,0
53,0,0,0.8,0.8,2.8,1007.7000122070312,0,0,0,0,0.2460205078125,0
54,0,0,0.75,0.75,2.75,1041.25,0,0,0,0,0.25421142578125,0
55,0,0,0.75,0.75,2.75,910.5,0,0,0,0,0.2222900390625,0
56,0,0,0.6,0.6,2.6,764.1500244140625,0,0,0,0,0.18656005859375,0
57,0,0,0.6,0.6,2.6,917.7000122070312,0,0,0,0,0.2240478515625,0
58,0,0,0.8,0.8,2.8,1031.1500244140625,0,0,0,0,0.25174560546875,0
59,0,0,0.6,0.6,2.6,816.7000122070312,0,0,0,0,0.1993896484375,0
60,0,0,0.65,0.65,2.65,893.8499755859375,0,0,0,0,0.21822509765625,0
61,0,0,0.6,0.6,2.6,810.1500244140625,0,0,0,0,0.19779052734375,0
62,0,0,0.7,0.7,2.7,1161.75,0,0,0,0,0.28363037109375,0
63,0,0,0.45,0.45,2.45,645.0499877929688,0,0,0,0,0.15748291015625,0
64,0,0,0.4,0.4,2.4,784.1500244140625,0,0,0,0,0.19144287109375,0
65,0,0,0.5,0.5,2.5,748.0999755859375,0,0,0,0,0.1826416015625,0
66,0,0,0.8,0.8,2.8,991.1500244140625,0,0,0,0,0.24197998046875,0
67,0,0,0.65,0.65,2.65,943.5,0,0,0,0,0.2303466796875,0
68,0,0,0.75,0.75,2.75,989,0,0,0,0,0.241455078125,0
69,0,0,0.6,0.6,2.6,849.4000244140625,0,0,0,0,0.207373046875,0
70,0,0,0.7,0.7,2.7,1060.800048828125,0,0,0,0,0.258984375,0
71,0,0,0.5,0.5,2.5,728,0,0,0,0,0.177734375,0
72,0,0,0.65,0.65,2.65,861.7000122070312,0,0,0,0,0.2103759765625,0
73,0,0,0.65,0.65,2.65,976.2999877929688,0,0,0,0,0.2383544921875,0
74,0,0,0.65,0.65,2.65,910.5999755859375,0,0,0,0,0.222314453125,0
75,0,0,0.75,0.75,2.75,906.75,0,0,0,0,0.22137451171875,0
76,0,0,0.65,0.65,2.65,868.0999755859375,0,0,0,0,0.2119384765625,0
77,0,0,0.5,0.5,2.5,724.4000244140625,0,0,0,0,0.17685546875,0
78,0,0,0.55,0.55,2.55,747.7999877929688,0,0,0,0,0.182568359375,0
79,0,0,0.85,0.85,2.85,1103.9000244140625,0,0,0,0,0.2695068359375,0
80,0,0,0.75,0.75,2.75,862.5499877929688,0,0,0,0,0.21058349609375,0
81,0,0,0.65,0.65,2.65,965.0999755859375,0,0,0,0,0.2356201171875,0
82,0,0,0.5,0.5,2.5,668.8499755859375,0,0,0,0,0.16329345703125,0
83,0,0,0.75,0.75,2.75,1039.0999755859375,0,0,0,0,0.2536865234375,0
84,0,0,0.6,0.6,2.6,1014.1500244140625,0,0,0,0,0.24759521484375,0
85,0,0,0.8,0.8,2.8,945.7000122070312,0,0,0,0,0.2308837890625,0
86,0,0,0.85,0.85,2.85,999.4000244140625,0,0,0,0,0.243994140625,0
87,0,0,0.5,0.5,2.5,751.5,0,0,0,0,0.1834716796875,0
88,0,0,0.7,0.7,2.7,986.9000244140625,0,0,0,0,0.2409423828125,0
89,0,0,0.85,0.85,2.85,1031.449951171875,0,0,0,0,0.25181884765625,0
90,0,0,0.7,0.7,2.7,900.2000122070312,0,0,0,0,0.219775390625,0
91,0,0,0.55,0.55,2.55,781.2000122070312,0,0,0,0,0.19072265625,0
92,0,0,0.65,0.65,2.65,888.9500122070312,0,0,0,0,0.21702880859375,0
93,0,0,0.55,0.55,2.55,979.5499877929688,0,0,0,0,0.23914794921875,0
94,0,0,0.6,0.6,2.6,907.2000122070312,0,0,0,0,0.221484375,0
95,0,0,0.6,0.6,2.6,861.4500122070312,0,0,0,0,0.21031494140625,0
96,0,0,0.6,0.6,2.6,841.8499755859375,0,0,0,0,0.20552978515625,0
97,0,0,0.6,0.6,2.6,791.5499877929688,0,0,0,0,0.19324951171875,0
98,0,0,0.9,0.9,2.9,985.2000122070312,0,0,0,0,0.24052734375,0
99,0,0,0.7,0.7,2.7,947.2999877929688,0,0,0,0,0.2312744140625,0
100,0,0,0.7,0.7,2.7,930.75,0,0,0,0,0.22723388671875,0
101,0,0,0.6,0.6,2.6,918.1500244140625,0,0,0,0,0.22415771484375,0
102,0,0,0.55,0.55,2.55,875.5499877929688,0,0,0,0,0.21375732421875,0
103,0,0,0.55,0.55,2.55,793.5499877929688,0,0,0,0,0.19373779296875,0
104,0,0,0.65,0.65,2.65,839,0,0,0,0,0.204833984375,0
105,0,0,0.95,0.95,2.95,1125.75,0,0,0,0,0.27484130859375,0
106,0,0,0.6,0.6,2.6,722,0,0,0,0,0.17626953125,0
107,0,0,0.7,0.7,2.7,855.0499877929688,0,0,0,0,0.20875244140625,0
108,0,0,0.55,0.55,2.55,783.4500122070312,0,0,0,0,0.19127197265625,0
109,0,0,0.65,0.65,2.65,753.4500122070312,0,0,0,0,0.18394775390625,0
110,0,0,0.85,0.85,2.85,1086,0,0,0,0,0.26513671875,0
111,0,0,0.6,0.6,2.6,882.0999755859375,0,0,0,0,0.2153564453125,0
112,0,0,0.85,0.85,2.85,981.4000244140625,0,0,0,0,0.239599609375,0
113,0,0,0.6,0.6,2.6,818.4500122070312,0,0,0,0,0.19981689453125,0
114,0,0,0.45,0.45,2.45,672.6500244140625,0,0,0,0,0.16422119140625,0
115,0,0,0.65,0.65,2.65,893.3499755859375,0,0,0,0,0.21810302734375,0
116,0,0,0.35,0.35,2.35,720.75,0,0,0,0,0.17596435546875,0
117,0,0,0.65,0.65,2.65,980.25,0,0,0,0,0.23931884765625,0
118,0,0,0.7,0.7,2.7,1032.699951171875,0,0,0,0,0.2521240234375,0
119,0,0,0.45,0.45,2.45,678.4000244140625,0,0,0,0,0.165625,0
120,0,0,0.7,0.7,2.7,941.5499877929688,0,0,0,0,0.22987060546875,0
121,0,0,0.55,0.55,2.55,758.4000244140625,0,0,0,0,0.18515625,0
122,0,0,0.8,0.8,2.8,978.6500244140625,0,0,0,0,0.23892822265625,0
123,0,0,0.7,0.7,2.7,979,0,0,0,0,0.239013671875,0
124,0,0,0.8,0.8,2.8,1057.0999755859375,0,0,0,0,0.2580810546875,0
125,0,0,0.55,0.55,2.55,890.7999877929688,0,0,0,0,0.21748046875,0
126,0,0,0.6,0.6,2.6,786.0499877929688,0,0,0,0,0.19190673828125,0
127,0,0,0.5,0.5,2.5,782.2000122070312,0,0,0,0,0.190966796875,0
128,0,0,0.85,0.85,2.85,1020.75,0,0,0,0,0.24920654296875,0
129,0,0,0.7,0.7,2.7,900,0,0,0,0,0.2197265625,0
130,0,0,0.5,0.5,2.5,736.7000122070312,0,0,0,0,0.1798583984375,0
131,0,0,0.8,0.8,2.8,955.1500244140625,0,0,0,0,0.23319091796875,0
132,0,0,0.65,0.65,2.65,841.9000244140625,0,0,0,0,0.2055419921875,0
133,0,0,0.55,0.55,2.55,713.0999755859375,0,0,0,0,0.1740966796875,0
134,0,0,0.55,0.55,2.55,777.5,0,0,0,0,0.1898193359375,0
135,0,0,0.55,0.55,2.55,888.4500122070312,0,0,0,0,0.21690673828125,0
136,0,0,0.9,0.9,2.9,1015.8499755859375,0,0,0,0,0.24801025390625,0
