_step,critic/rewards/mean,critic/score/mean,tool_call_counts/mean,re_search/search_calls/mean,num_turns/mean,response_length/mean,actor/loss,actor/kl_loss,actor/grad_norm,actor/pg_loss,re_search/budget_utilization,response/aborted_ratio
1,0.03500000387430191,0.03500000387430191,0.3,0.3,2.3,562.2000122070312,-0.03091166354715824,0,3.132779836654663,-0.03091166354715824,0.137255859375,0
2,0.03999999910593033,0.03999999910593033,0.35,0.35,2.35,670.9000244140625,-0.07125800848007202,0.0009575047297403216,2.9846136569976807,-0.07125896215438843,0.1637939453125,0
3,0.03500000014901161,0.03500000014901161,0.15,0.15,2.15,437.25,-0.03620293736457825,0.0009044543257914484,3.9699013233184814,-0.03620384261012077,0.10675048828125,0
4,0.04000000283122063,0.04000000283122063,0.45,0.45,2.45,642.25,-0.0006966473301872611,0.000910621543880552,3.4896514415740967,-0.0006975579308345914,0.15679931640625,0
5,0.030000001192092896,0.030000001192092896,0.1,0.1,2.1,479.25,-0.1127227172255516,0.0009346017031930387,3.3980612754821777,-0.11272364854812622,0.11700439453125,0
6,0.02500000037252903,0.02500000037252903,0.25,0.25,2.25,487.04998779296875,-0.0945456326007843,0.0010968955466523767,3.96171236038208,-0.09454672783613205,0.11890869140625,0
7,0.07000000774860382,0.07000000774860382,0.15,0.15,2.15,544.9000244140625,0.15210869908332825,0.001092023798264563,3.345839023590088,0.1521076112985611,0.1330322265625,0
8,0.07999999821186066,0.07999999821186066,0.15,0.15,2.15,483.20001220703125,-0.12477283924818039,0.0014054940547794104,3.919384002685547,-0.12477424740791321,0.11796875,0
9,0.02500000037252903,0.02500000037252903,0.2,0.2,2.2,580.6500244140625,0.015160152688622475,0.0013074401067569852,2.9429409503936768,0.015158845111727715,0.14176025390625,0
10,0.032870370894670486,0.032870370894670486,0.2,0.2,2.2,425.54998779296875,-0.03477044031023979,0.0017236933344975114,3.8358559608459473,-0.03477216511964798,0.10389404296875,0
11,0.03999999910593033,0.03999999910593033,0.1,0.1,2.1,403.3500061035156,0.031901437789201736,0.0018155175494030118,3.9194560050964355,0.031899623572826385,0.09847412109375,0
12,0.12000000476837158,0.12000000476837158,0.2,0.2,2.2,499.04998779296875,-0.10344196856021881,0.00402755755931139,3.9014384746551514,-0.10344599932432175,0.12183837890625,0
13,0.03500000387430191,0.03500000387430191,0.2,0.2,2.2,487.3500061035156,0.05571066960692406,0.0035144134890288115,3.041574478149414,0.05570715665817261,0.11898193359375,0
14,0.08833334594964981,0.08833334594964981,0.1,0.1,2.1,514.8499755859375,0.1097947284579277,0.0031626748386770487,2.4571850299835205,0.10979156941175461,0.12569580078125,0
15,0.0650000125169754,0.0650000125169754,0.25,0.25,2.25,587.0499877929688,-0.07468812167644501,0.006284639239311218,3.0551609992980957,-0.07469440996646881,0.14332275390625,0
16,0.14999999105930328,0.14999999105930328,0.05,0.05,2.05,486.3500061035156,-0.053714580833911896,0.005561678670346737,2.3412251472473145,-0.0537201426923275,0.11873779296875,0
17,0.07500000298023224,0.07500000298023224,0.1,0.1,2.1,412.45001220703125,-0.08535405248403549,0.008685833774507046,3.5539495944976807,-0.0853627398610115,0.10069580078125,0
18,0.08000000566244125,0.08000000566244125,0.1,0.1,2.1,410.8500061035156,-0.06633161753416061,0.008083165623247623,3.0533196926116943,-0.06633970141410828,0.10030517578125,0
19,0.13192982971668243,0.13192982971668243,0.2,0.2,2.2,487.70001220703125,0.014277257956564426,0.015544872730970383,3.316157817840576,0.01426171325147152,0.1190673828125,0
20,0.13785713911056519,0.13785713911056519,0,0,2,382.3999938964844,-0.22329333424568176,0.009525638073682785,3.5759284496307373,-0.22330285608768463,0.093359375,0
21,0.10000000894069672,0.10000000894069672,0,0,2,262.20001220703125,1.6666861483827233e-05,0.01666686125099659,0.0051523554138839245,0,0.064013671875,0
22,0.1300000101327896,0.1300000101327896,0,0,2,307.79998779296875,0.11699701100587845,0.020321214571595192,3.6887662410736084,0.11697669327259064,0.075146484375,0
23,0.11000001430511475,0.11000001430511475,0,0,2,487.04998779296875,0.02727878838777542,0.009101631119847298,3.25174880027771,0.02726968750357628,0.11890869140625,0
24,0.09000001102685928,0.09000001102685928,0,0,2,273.1499938964844,-0.00039204693166539073,0.017287272959947586,3.227933406829834,-0.00040933419950306416,0.06668701171875,0
25,0.0950000137090683,0.0950000137090683,0,0,2,413.25,0.021548889577388763,0.013878189027309418,2.04962158203125,0.021535011008381844,0.10089111328125,0
26,0.10000000894069672,0.10000000894069672,0,0,2,462,8.83303346199682e-06,0.00883303303271532,0.001973146805539727,0,0.11279296875,0
27,0.15000000596046448,0.15000000596046448,0,0,2,313.8999938964844,0.018237099051475525,0.01676124334335327,1.9523259401321411,0.018220337107777596,0.0766357421875,0
28,0.09936027228832245,0.09936027228832245,0,0,2,428.45001220703125,-0.00620893994346261,0.017103875055909157,1.471956491470337,-0.0062260436825454235,0.10460205078125,0
29,0.10000000894069672,0.10000000894069672,0,0,2,430.04998779296875,1.7070102330762893e-05,0.0170701015740633,0.004536578897386789,0,0.10499267578125,0
30,0.10000000894069672,0.10000000894069672,0,0,2,430.6000061035156,1.9901723135262728e-05,0.01990172266960144,0.004213293548673391,0,0.105126953125,0
31,0.09900001436471939,0.09900001436471939,0,0,2,506.04998779296875,-0.019207239151000977,0.011824565939605236,1.399894118309021,-0.019219063222408295,0.12354736328125,0
32,0.10000000894069672,0.10000000894069672,0,0,2,426.75,1.5788129530847073e-05,0.015788128599524498,0.0037368873599916697,0,0.10418701171875,0
33,0.1599999964237213,0.1599999964237213,0,0,2,307.79998779296875,-0.00596828106790781,0.02258978970348835,2.2630727291107178,-0.005990870762616396,0.075146484375,0
34,0.12833335995674133,0.12833335995674133,0,0,2,323.8500061035156,-0.01170855201780796,0.029292048886418343,2.0888020992279053,-0.011737843975424767,0.07906494140625,0
35,0.0950000137090683,0.0950000137090683,0,0,2,374.3500061035156,0.05270397290587425,0.021533263847231865,1.8391801118850708,0.05268244072794914,0.09139404296875,0
36,0.2026190459728241,0.2026190459728241,0,0,2,394.79998779296875,-0.036529649049043655,0.022269871085882187,2.6013998985290527,-0.03655191883444786,0.09638671875,0
37,0.15666668117046356,0.15666668117046356,0,0,2,306.1499938964844,-0.011949033476412296,0.03154179826378822,1.9820462465286255,-0.011980575509369373,0.07474365234375,0
38,0.10000000894069672,0.10000000894069672,0,0,2,354.79998779296875,1.6354220861103386e-05,0.016354219987988472,0.002798310946673155,0,0.08662109375,0
