_step,critic/rewards/mean,critic/score/mean,tool_call_counts/mean,re_search/search_calls/mean,num_turns/mean,response_length/mean,actor/loss,actor/kl_loss,actor/grad_norm,actor/pg_loss,re_search/budget_utilization,response/aborted_ratio
1,0.02135937288403511,0.02135937288403511,0.725,0.725,2.725,829,-0.02445206791162491,0,3.085533618927002,-0.024452068144455552,0.1011962890625,0
2,0.016975000500679016,0.016975000500679016,0.7,0.7,2.7,789.125,-0.039741747081279755,0.0008922033593989909,3.534895181655884,-0.039742639288306236,0.0963287353515625,0
3,0.017304373905062675,0.017304373905062675,0.75,0.75,2.75,874.2000122070312,-0.07766032218933105,0.0012096145073883235,2.8008220195770264,-0.07766153541160747,0.1067138671875,0
4,0.01421000063419342,0.01421000063419342,0.775,0.775,2.775,927.7000122070312,-0.07959103584289551,0.0013496320461854339,2.9628794193267822,-0.07959238579496741,0.11324462890625,0
5,0.026685815304517746,0.026685815304517746,0.6,0.6,2.6,760.5750122070312,-0.04006035625934601,0.0014687535585835576,3.022963762283325,-0.04006182588636875,0.0928436279296875,0
6,0.03612250089645386,0.03612250089645386,0.75,0.75,2.75,877.5750122070312,-0.03969557583332062,0.00399138533975929,3.2266693115234375,-0.039699576795101166,0.1071258544921875,0
7,0.03645000606775284,0.03645000606775284,0.475,0.475,2.475,697.6500244140625,0.02783830836415291,0.002170954248867929,2.5335397720336914,0.027836136985570192,0.085162353515625,0
8,0.055480003356933594,0.055480003356933594,0.625,0.625,2.625,816.7000122070312,-0.02654510736465454,0.003948957193642855,2.82163405418396,-0.02654905617237091,0.09969482421875,0
9,0.04128812626004219,0.04128812626004219,0.525,0.525,2.525,703.5499877929688,-0.03486325591802597,0.004421845194883645,2.8592493534088135,-0.03486768156290054,0.085882568359375,0
10,0.05426562577486038,0.05426562577486038,0.525,0.525,2.525,696.0999755859375,-0.0001869797706604004,0.004844372859224677,3.0227739810943604,-0.00019182264804840088,0.08497314453125,0
11,0.043434374034404755,0.043434374034404755,0.5,0.5,2.5,675.8250122070312,-0.024531090632081032,0.007116962457075715,2.9691338539123535,-0.024538207799196243,0.0824981689453125,0
12,0.050334371626377106,0.050334371626377106,0.6,0.6,2.6,822.4500122070312,0.07470713555812836,0.00730524118989706,2.774585008621216,0.07469983119517565,0.100396728515625,0
13,0.04626874998211861,0.04626874998211861,0.5,0.5,2.5,874.5,0.4654734432697296,0.005391731159761548,1.600787878036499,0.46546805277466774,0.10675048828125,0
14,0.05517187714576721,0.05517187714576721,0.45,0.45,2.45,697.1500244140625,-0.0050363317131996155,0.006149591179564595,2.1922850608825684,-0.005042480304837227,0.085101318359375,0
15,0.05021874979138374,0.05021874979138374,0.475,0.475,2.475,663.0999755859375,0.03381648659706116,0.010435627307742834,3.0462989807128906,0.03380604833364487,0.08094482421875,0
16,0.05370374768972397,0.05370374768972397,0.525,0.525,2.525,729.1749877929688,-0.002776414155960083,0.007533476687967777,2.7857773303985596,-0.002783939242362976,0.0890106201171875,0
17,0.09343333542346954,0.09343333542346954,0.45,0.45,2.45,604.5999755859375,-0.015242964029312134,0.011549235321581364,3.040966272354126,-0.015254512429237366,0.0738037109375,0
18,0.09033024311065674,0.09033024311065674,0.5,0.5,2.5,714.375,0.04018333926796913,0.00886750128120184,2.688246250152588,0.04017447214573622,0.0872039794921875,0
19,0.06987500190734863,0.06987500190734863,0.4,0.4,2.4,576.4500122070312,0.018484976142644882,0.012642868794500828,3.064049243927002,0.018472332507371902,0.070367431640625,0
20,0.10400938987731934,0.10400938987731934,0.475,0.475,2.475,647,-0.004974159877747297,0.012306701391935349,2.965446710586548,-0.004986466490663588,0.0789794921875,0
21,0.06385000050067902,0.06385000050067902,0.375,0.375,2.375,597.9500122070312,0.013751880265772343,0.007879470940679312,2.3249258995056152,0.013744000811129808,0.072991943359375,0
22,0.12218405306339264,0.12218405306339264,0.525,0.525,2.525,723.1749877929688,-0.011897638440132141,0.009933748049661517,2.7200238704681396,-0.01190757192671299,0.0882781982421875,0
23,0.06776798516511917,0.06776798516511917,0.625,0.625,2.625,767.25,0.04722604155540466,0.010605836287140846,3.0704102516174316,0.04721543565392494,0.093658447265625,0
24,0.059831250458955765,0.059831250458955765,0.675,0.675,2.675,836.1749877929688,-0.011653412133455276,0.009934750851243734,2.4237301349639893,-0.011663347482681274,0.1020721435546875,0
25,0.08293749392032623,0.08293749392032623,0.45,0.45,2.45,635.5250244140625,0.00040753837674856186,0.011679652612656355,3.061164617538452,0.00039585866034030914,0.0775787353515625,0
26,0.09821145981550217,0.09821145981550217,0.75,0.75,2.75,852.1749877929688,-0.003826618194580078,0.014605029486119747,2.8202157020568848,-0.003841223195195198,0.1040252685546875,0
27,0.05682187154889107,0.05682187154889107,0.625,0.625,2.625,774.7999877929688,-0.013770261779427528,0.013482635840773582,2.3721914291381836,-0.013783744303509593,0.094580078125,0
28,0.09659627825021744,0.09659627825021744,0.675,0.675,2.675,821.0750122070312,-0.01622023619711399,0.012585989199578762,3.014514684677124,-0.016232822090387344,0.1002288818359375,0
29,0.058809369802474976,0.058809369802474976,0.7,0.7,2.7,865.7750244140625,0.07797470688819885,0.011435049585998058,2.699695587158203,0.07796327769756317,0.1056854248046875,0
30,0.11060609668493271,0.11060609668493271,0.75,0.75,2.75,921.6749877929688,-0.03904072195291519,0.011608642060309649,2.4872310161590576,-0.0390523299574852,0.1125091552734375,0
31,0.08675555884838104,0.08675555884838104,0.9,0.9,2.9,984.5499877929688,0.07658425718545914,0.018003094010055065,2.878049850463867,0.07656625285744667,0.120184326171875,0
