_step,critic/rewards/mean,critic/score/mean,tool_call_counts/mean,re_search/search_calls/mean,num_turns/mean,response_length/mean,actor/loss,actor/kl_loss,actor/grad_norm,actor/pg_loss,re_search/budget_utilization,response/aborted_ratio
1,0.02720624767243862,0.02720624767243862,0.675,0.675,2.675,780.8499755859375,-0.12090517580509186,0,3.399998664855957,-0.12090517207980156,0.095318603515625,0
2,0.01288125105202198,0.01288125105202198,0.75,0.75,2.75,835.2999877929688,-0.016216129064559937,0.0009222766093444079,3.376302480697632,-0.016217051539570093,0.10196533203125,0
3,0.02474374882876873,0.02474374882876873,0.55,0.55,2.55,709.7999877929688,-0.07291467487812042,0.0010645954753272235,3.309859275817871,-0.07291573286056519,0.0866455078125,0
4,0.03904850780963898,0.03904850780963898,0.7,0.7,2.7,915.3499755859375,0.08367731422185898,0.0011224717018194497,2.9889466762542725,0.08367618918418884,0.111737060546875,0
5,0.023646874353289604,0.023646874353289604,0.6,0.6,2.6,733.5250244140625,0.05053636431694031,0.0012521465541794896,3.3969147205352783,0.050535112619400024,0.0895416259765625,0
6,0.050243377685546875,0.050243377685546875,0.775,0.775,2.775,881.7750244140625,0.003100953996181488,0.0028046327643096447,3.2699851989746094,0.0030981525778770447,0.1076385498046875,0
7,0.057844795286655426,0.057844795286655426,0.5,0.5,2.5,695.9249877929688,-0.0456986241042614,0.003010450745932758,2.821878671646118,-0.045701632741838694,0.0849517822265625,0
8,0.057766251266002655,0.057766251266002655,0.525,0.525,2.525,728.2249755859375,-0.02851218171417713,0.0031612066086381674,2.6203150749206543,-0.028515341691672802,0.0888946533203125,0
9,0.03792187571525574,0.03792187571525574,0.45,0.45,2.45,620.4249877929688,0.029596589505672455,0.005111160920932889,3.1020712852478027,0.029591485857963562,0.0757354736328125,0
10,0.10271450132131577,0.10271450132131577,0.4,0.4,2.4,614.7000122070312,-0.05958210676908493,0.005793979624286294,2.987494707107544,-0.05958790332078934,0.07503662109375,0
11,0.044428750872612,0.044428750872612,0.55,0.55,2.55,677.4500122070312,0.05494719743728638,0.009716888424009085,3.0516700744628906,0.054937477223575115,0.082696533203125,0
12,0.058042287826538086,0.058042287826538086,0.55,0.55,2.55,760.8499755859375,-0.01629839837551117,0.007441856898367405,2.7296555042266846,-0.016305841505527496,0.092877197265625,0
13,0.050990622490644455,0.050990622490644455,0.425,0.425,2.425,630.1749877929688,-0.03621582314372063,0.007880280492827296,2.8299014568328857,-0.036223702132701874,0.0769256591796875,0
14,0.0925184041261673,0.0925184041261673,0.325,0.325,2.325,595.5499877929688,0.040017057210206985,0.007919869152829051,2.2129998207092285,0.040009135322179645,0.072698974609375,0
15,0.05707430839538574,0.05707430839538574,0.4,0.4,2.4,584.7999877929688,-0.09797928482294083,0.011495595332235098,2.6930863857269287,-0.09799077908974141,0.07138671875,0
16,0.08949437737464905,0.08949437737464905,0.4,0.4,2.4,615.2249755859375,0.021788902580738068,0.009514381177723408,2.4934065341949463,0.021779388189315796,0.0751007080078125,0
17,0.10267188400030136,0.10267188400030136,0.5,0.5,2.5,688.0999755859375,0.0009671095758676529,0.00923073012381792,2.965688705444336,0.0009578783065080643,0.08399658203125,0
18,0.05069375038146973,0.05069375038146973,0.275,0.275,2.275,528.375,-0.022124892100691795,0.008397198980674148,2.1131887435913086,-0.02213328890502453,0.0644989013671875,0
19,0.10581041872501373,0.10581041872501373,0.425,0.425,2.425,594.4500122070312,-0.01720096915960312,0.00953482766635716,3.0454084873199463,-0.01721050590276718,0.072564697265625,0
20,0.12147188186645508,0.12147188186645508,0.35,0.35,2.35,547.375,-0.06488971412181854,0.013295926619321108,3.057220220565796,-0.06490300968289375,0.0668182373046875,0
21,0.09141770750284195,0.09141770750284195,0.375,0.375,2.375,581.2750244140625,-0.02460801601409912,0.008671765448525548,2.811466693878174,-0.024616687558591366,0.0709564208984375,0
22,0.1457548588514328,0.1457548588514328,0.35,0.35,2.35,620.6500244140625,-0.004015006124973297,0.008069209521636367,2.355076551437378,-0.004023075103759766,0.075762939453125,0
23,0.06968175619840622,0.06968175619840622,0.375,0.375,2.375,599.2000122070312,-0.008472373709082603,0.009356469381600618,2.4944400787353516,-0.00848172977566719,0.07314453125,0
24,0.08392083644866943,0.08392083644866943,0.425,0.425,2.425,653.4500122070312,0.01577553153038025,0.010230310261249542,3.0232977867126465,0.015765301883220673,0.079766845703125,0
25,0.08785311877727509,0.08785311877727509,0.525,0.525,2.525,706.4000244140625,-0.025442974641919136,0.011791553348302841,2.547914743423462,-0.02545476716477424,0.08623046875,0
26,0.06585044413805008,0.06585044413805008,0.525,0.525,2.525,715.3499755859375,0.11231984943151474,0.009378726594150066,2.9496610164642334,0.1123104658909142,0.087322998046875,0
27,0.07491562515497208,0.07491562515497208,0.625,0.625,2.625,758.4500122070312,0.03482254594564438,0.015435755718499422,3.104929208755493,0.0348071064800024,0.092584228515625,0
28,0.11722874641418457,0.11722874641418457,0.55,0.55,2.55,742.0750122070312,-0.042112432420253754,0.009998145513236523,2.838391065597534,-0.042122431099414825,0.0905853271484375,0
29,0.08439062535762787,0.08439062535762787,0.45,0.45,2.45,661.5750122070312,0.012547876685857773,0.0077799418941140175,2.9435081481933594,0.012540094554424286,0.0807586669921875,0
30,0.1353767365217209,0.1353767365217209,0.55,0.55,2.55,736.2249755859375,0.06549911201000214,0.009514140896499157,2.62996506690979,0.06548959948122501,0.0898712158203125,0
31,0.09864374995231628,0.09864374995231628,0.725,0.725,2.725,886.8499755859375,-0.0035763010382652283,0.009579994715750217,2.677995443344116,-0.0035858824849128723,0.108258056640625,0
32,0.06615000218153,0.06615000218153,0.6,0.6,2.6,762.375,0.04248521849513054,0.00916531402617693,2.9217562675476074,0.042476050555706024,0.0930633544921875,0
33,0.10266804695129395,0.10266804695129395,0.725,0.725,2.725,863.6500244140625,-0.022106587886810303,0.013650345150381327,1.9064679145812988,-0.022120237350463867,0.105426025390625,0
34,0.07094791531562805,0.07094791531562805,0.625,0.625,2.625,789.6749877929688,0.004292836878448725,0.01036968594416976,2.729825258255005,0.004282466834411025,0.0963958740234375,0
35,0.11909375339746475,0.11909375339746475,0.625,0.625,2.625,805.8499755859375,-0.020509973168373108,0.011522871442139149,2.9240336418151855,-0.020521491765975952,0.098370361328125,0
36,0.11364201456308365,0.11364201456308365,1,1,3,1040.449951171875,0.052369773387908936,0.012569300597533584,3.1524505615234375,0.052357204258441925,0.127008056640625,0
37,0.15589375793933868,0.15589375793933868,0.725,0.725,2.725,916.7750244140625,0.03826764225959778,0.009743095375597477,2.1941447257995605,0.03825789876282215,0.1119110107421875,0
38,0.12345357239246368,0.12345357239246368,0.8,0.8,2.8,912.8499755859375,0.05233267694711685,0.016566177364438772,2.856161594390869,0.05231611244380474,0.111431884765625,0
39,0.189473956823349,0.189473956823349,0.85,0.85,2.85,905.2000122070312,-0.04384526610374451,0.01635168492794037,2.6438632011413574,-0.043861618265509605,0.110498046875,0
40,0.0665552094578743,0.0665552094578743,0.95,0.95,2.95,1041.824951171875,0.0479893684387207,0.020409231539815664,1.9598804712295532,0.04796895384788513,0.1271759033203125,0
41,0.0684562474489212,0.0684562474489212,0.875,0.875,2.875,963.6500244140625,-0.01386510580778122,0.017695636488497257,2.484285831451416,-0.013882800936698914,0.117633056640625,0
42,0.08087187260389328,0.08087187260389328,1.175,1.175,3.175,1260.875,0.03825819119811058,0.015784463845193386,2.423020124435425,0.03824240807443857,0.1539154052734375,0
43,0.0875687450170517,0.0875687450170517,0.95,0.95,2.95,1020.2249755859375,-0.02008110098540783,0.021791720762848854,2.4666032791137695,-0.02010289393365383,0.1245391845703125,0
44,0.06174062564969063,0.06174062564969063,0.975,0.975,2.975,1053.5999755859375,0.04317769035696983,0.021171190310269594,2.0313379764556885,0.043156519532203674,0.12861328125,0
45,0.07492698729038239,0.07492698729038239,0.95,0.95,2.95,1027.199951171875,-0.02099217101931572,0.020980753004550934,2.7266249656677246,-0.021013150457292795,0.125390625,0
46,0.15638543665409088,0.15638543665409088,0.95,0.95,2.95,1011.6749877929688,0.026848921552300453,0.020849029533565044,2.833509683609009,0.02682807296514511,0.1234954833984375,0
47,0.07444930076599121,0.07444930076599121,0.925,0.925,2.925,1082.550048828125,-0.11448270082473755,0.01713679078966379,2.364072322845459,-0.11449984088540077,0.132147216796875,0
48,0.07619895786046982,0.07619895786046982,0.9,0.9,2.9,988.9249877929688,-0.013307943940162659,0.023243313655257225,2.540916919708252,-0.013331186026334763,0.1207183837890625,0
49,0.16630271077156067,0.16630271077156067,1.025,1.025,3.025,1071.050048828125,0.05358429253101349,0.027786531951278448,2.4694478511810303,0.053556506521999836,0.130743408203125,0
50,0.0613781213760376,0.0613781213760376,0.975,0.975,2.975,1065.5,-0.030439354479312897,0.02004778617992997,1.8856751918792725,-0.030459399335086346,0.13006591796875,0
51,0.17462991178035736,0.17462991178035736,0.925,0.925,2.925,1014.7750244140625,-0.034381892532110214,0.023267440497875214,2.634538173675537,-0.03440515510737896,0.1238739013671875,0
52,0.12726667523384094,0.12726667523384094,1.05,1.05,3.05,1051.6500244140625,0.0024994700215756893,0.027116372250020504,2.08492112159729,0.0024723531678318977,0.128375244140625,0
53,0.0873778834939003,0.0873778834939003,0.975,0.975,2.975,1020.1749877929688,0.0002689249813556671,0.028730269521474838,1.982129693031311,0.0002401941455900669,0.1245330810546875,0
