_step,critic/rewards/mean,critic/score/mean,tool_call_counts/mean,re_search/search_calls/mean,num_turns/mean,response_length/mean,actor/loss,actor/kl_loss,actor/grad_norm,actor/pg_loss,re_search/budget_utilization,response/aborted_ratio
1,0.01757078431546688,0.01757078431546688,0.775,0.775,2.775,847.0250244140625,-0.13724684715270996,0,2.725098133087158,-0.13724684808403254,0.1033966064453125,0
2,0.01639062538743019,0.01639062538743019,0.75,0.75,2.75,826.2000122070312,0.007543966639786959,0.0009938850125763565,3.6616475582122803,0.007542972452938557,0.1008544921875,0
3,0.024018749594688416,0.024018749594688416,0.725,0.725,2.725,861.125,-0.07186109572649002,0.0010152027534786612,3.131427049636841,-0.07186211366206408,0.1051177978515625,0
4,0.023059822618961334,0.023059822618961334,0.8,0.8,2.8,941.5250244140625,-0.061304815113544464,0.0010920576751232147,3.101486921310425,-0.06130590895190835,0.1149322509765625,0
5,0.03428083285689354,0.03428083285689354,0.625,0.625,2.625,778.9500122070312,-0.010200142860412598,0.0014645525952801108,3.450615882873535,-0.01020160736516118,0.095086669921875,0
6,0.046035073697566986,0.046035073697566986,0.725,0.725,2.725,825.875,-0.029011037200689316,0.002756587346084416,3.1602978706359863,-0.029013793915510178,0.1008148193359375,0
7,0.046585001051425934,0.046585001051425934,0.65,0.65,2.65,811.875,-0.03677941858768463,0.0025835231062956154,2.511059522628784,-0.036782003939151764,0.0991058349609375,0
8,0.05466930940747261,0.05466930940747261,0.65,0.65,2.65,817.1500244140625,-0.025890260934829712,0.003226772998459637,2.7751643657684326,-0.025893479585647583,0.099749755859375,0
9,0.03373437747359276,0.03373437747359276,0.5,0.5,2.5,686.4000244140625,-0.006054908037185669,0.005270668072625995,2.861624002456665,-0.006060168147087097,0.0837890625,0
10,0.07573646306991577,0.07573646306991577,0.55,0.55,2.55,730.7249755859375,-0.0491931289434433,0.0057239222805947065,3.182544231414795,-0.049198850989341736,0.0891998291015625,0
11,0.048900000751018524,0.048900000751018524,0.675,0.675,2.675,801.7999877929688,0.006674906238913536,0.010473974514752626,3.1722664833068848,0.00666443258523941,0.0978759765625,0
12,0.0636133924126625,0.0636133924126625,0.7,0.7,2.7,867.8499755859375,-0.07375634461641312,0.008365134708583355,2.7572755813598633,-0.07376471068710089,0.105938720703125,0
13,0.05388125032186508,0.05388125032186508,0.525,0.525,2.525,695.2000122070312,-0.01615877076983452,0.007726364536210895,2.7737550735473633,-0.01616649702191353,0.08486328125,0
14,0.12263228744268417,0.12263228744268417,0.6,0.6,2.6,813.4749755859375,0.11058203130960464,0.007930840831249952,2.5432915687561035,0.11057410016655922,0.0993011474609375,0
15,0.053293753415346146,0.053293753415346146,0.65,0.65,2.65,819.3499755859375,0.04239986836910248,0.011655688285827637,2.623866319656372,0.04238821566104889,0.100018310546875,0
16,0.11773499101400375,0.11773499101400375,0.6,0.6,2.6,771.3250122070312,-0.03283688426017761,0.010645819827914238,2.9340312480926514,-0.03284752368927002,0.0941558837890625,0
17,0.062065623700618744,0.062065623700618744,0.65,0.65,2.65,778.3250122070312,-0.021654821932315826,0.010425828397274017,3.344040870666504,-0.021665245294570923,0.0950103759765625,0
18,0.07191294431686401,0.07191294431686401,0.525,0.525,2.525,702.5,-0.02231883630156517,0.009741331916302443,2.8416588306427,-0.022328579798340797,0.08575439453125,0
19,0.08850564807653427,0.08850564807653427,0.65,0.65,2.65,773.7249755859375,-0.027531545609235764,0.012209022883325815,2.989250898361206,-0.02754375571385026,0.0944488525390625,0
20,0.14290939271450043,0.14290939271450043,0.625,0.625,2.625,798.5,0.07435929775238037,0.011910533998161554,2.954191207885742,0.0743473912589252,0.09747314453125,0
21,0.10085713863372803,0.10085713863372803,0.65,0.65,2.65,872.0499877929688,0.09622853994369507,0.00984265049919486,2.4485411643981934,0.09621869400143623,0.106451416015625,0
22,0.15567918121814728,0.15567918121814728,0.75,0.75,2.75,960.6749877929688,0.028829308226704597,0.009986404329538345,2.1837329864501953,0.02881932072341442,0.1172698974609375,0
23,0.07562048733234406,0.07562048733234406,0.75,0.75,2.75,939.1500244140625,-0.043855294585227966,0.011608396656811237,2.423377513885498,-0.043866903288289905,0.114642333984375,0
24,0.08078749477863312,0.08078749477863312,0.775,0.775,2.775,950.75,-0.03736216574907303,0.01434509502723813,2.370748519897461,-0.03737650811672211,0.116058349609375,0
25,0.07543645799160004,0.07543645799160004,0.775,0.775,2.775,925.875,0.07730811834335327,0.015919221099466085,2.743863105773926,0.07729220390319824,0.1130218505859375,0
26,0.06637812405824661,0.06637812405824661,0.8,0.8,2.8,958.2999877929688,0.031908318400382996,0.016701824963092804,2.9264187812805176,0.03189161419868469,0.11697998046875,0
27,0.17991937696933746,0.17991937696933746,0.8,0.8,2.8,917.7000122070312,-0.006056932732462883,0.020515737123787403,2.660729169845581,-0.006077449768781662,0.11202392578125,0
28,0.14773228764533997,0.14773228764533997,0.875,0.875,2.875,942.5250244140625,0.014190559275448322,0.021484161727130413,2.650221586227417,0.01416907540988177,0.1150543212890625,0
29,0.10488750040531158,0.10488750040531158,0.9,0.9,2.9,1017.5499877929688,0.0070327892899513245,0.019248525146394968,2.463096857070923,0.007013537921011448,0.124212646484375,0
30,0.1341010481119156,0.1341010481119156,0.95,0.95,2.95,1081.7750244140625,0.024533014744520187,0.02007355634123087,2.5356874465942383,0.024512942880392075,0.1320526123046875,0
31,0.08161235600709915,0.08161235600709915,0.925,0.925,2.925,1066.75,-0.0625915378332138,0.020988258067518473,2.114412307739258,-0.06261252518743277,0.130218505859375,0
32,0.14433646202087402,0.14433646202087402,0.975,0.975,2.975,1081.824951171875,0.05797611549496651,0.023101147264242172,2.293954849243164,0.057953014969825745,0.1320587158203125,0
33,0.14092694222927094,0.14092694222927094,0.975,0.975,2.975,1118.800048828125,-0.014891490340232849,0.02615963201969862,2.450624942779541,-0.014917664229869843,0.136572265625,0
34,0.08715833723545074,0.08715833723545074,0.975,0.975,2.975,1075.7750244140625,0.04512118548154831,0.023716369178146124,2.0529229640960693,0.04509746562689543,0.1313201904296875,0
35,0.11859749257564545,0.11859749257564545,0.95,0.95,2.95,1089.2750244140625,0.026769906282424927,0.028443671762943268,2.7890126705169678,0.02674146555364132,0.1329681396484375,0
36,0.13044646382331848,0.13044646382331848,1,1,3,1063.5,-0.015926996245980263,0.029610843397676945,2.1947124004364014,-0.015956606715917587,0.12982177734375,0
37,0.13286563754081726,0.13286563754081726,1,1,3,1125.050048828125,0.12906566262245178,0.022183426190167665,1.9822440147399902,0.12904345989227295,0.137335205078125,0
38,0.1135290265083313,0.1135290265083313,0.95,0.95,2.95,1048.7750244140625,-0.017193708568811417,0.029700173996388912,2.5946693420410156,-0.017223399132490158,0.1280242919921875,0
39,0.21866564452648163,0.21866564452648163,1.025,1.025,3.025,1102.0250244140625,-0.08839385211467743,0.022824594285339117,2.3037500381469727,-0.0884166699834168,0.1345245361328125,0
40,0.06393291801214218,0.06393291801214218,0.975,0.975,2.975,1094.925048828125,0.042672716081142426,0.03643699362874031,2.693699598312378,0.042636267840862274,0.1336578369140625,0
41,0.10603928565979004,0.10603928565979004,1.025,1.025,3.025,1084.5,0.02747519128024578,0.02820566389709711,2.127192735671997,0.027446983382105827,0.13238525390625,0
42,0.11536458879709244,0.11536458879709244,0.975,0.975,2.975,1135.7249755859375,-0.06641986966133118,0.024948205798864365,2.660661458969116,-0.06644482724368572,0.1386383056640625,0
43,0.1556798815727234,0.1556798815727234,1,1,3,1115.050048828125,0.016336053609848022,0.032160473987460136,2.506911516189575,0.016303889453411102,0.136114501953125,0
44,0.061631251126527786,0.061631251126527786,1,1,3,1108.2249755859375,-0.006422467529773712,0.0299306008964777,2.295961856842041,-0.006452396512031555,0.1352813720703125,0
45,0.08281312137842178,0.08281312137842178,0.975,0.975,2.975,1059.0250244140625,0.04449911415576935,0.028932075016200542,2.1940062046051025,0.04447018634527922,0.1292755126953125,0
46,0.1623000204563141,0.1623000204563141,1,1,3,1086.675048828125,0.04580504447221756,0.02935285959392786,1.8620291948318481,0.04577568545937538,0.1326507568359375,0
47,0.0805874913930893,0.0805874913930893,1.025,1.025,3.025,1184.949951171875,0.02403915300965309,0.025876413099467754,1.4603822231292725,0.024013275280594826,0.144647216796875,0
48,0.09175688028335571,0.09175688028335571,1,1,3,1073.949951171875,0.05504121631383896,0.03097444400191307,2.2294886112213135,0.05501023310353048,0.131097412109375,0
49,0.19338499009609222,0.19338499009609222,1.075,1.075,3.075,1107.550048828125,0.0041031986474990845,0.03126753494143486,2.424189329147339,0.004071923904120922,0.135198974609375,0
50,0.07952187955379486,0.07952187955379486,1.05,1.05,3.05,1098.7249755859375,-0.037121422588825226,0.036373197101056576,2.3483872413635254,-0.03715779446065426,0.1341217041015625,0
51,0.19786043465137482,0.19786043465137482,0.95,0.95,2.95,1059.324951171875,-0.05204297602176666,0.026500094681978226,2.3611507415771484,-0.052069476805627346,0.1293121337890625,0
52,0.12302501499652863,0.12302501499652863,1,1,3,1047.6500244140625,0.007165428251028061,0.029545065946877003,1.8708622455596924,0.0071358829736709595,0.127886962890625,0
53,0.06913544237613678,0.06913544237613678,1.025,1.025,3.025,1053.3499755859375,0.007320959120988846,0.03935148846358061,1.7256076335906982,0.007281606085598469,0.128582763671875,0
54,0.07284791767597198,0.07284791767597198,0.95,0.95,2.95,1014.125,0.024620451033115387,0.03490047063678503,1.5892661809921265,0.024585550650954247,0.1237945556640625,0
55,0.11450313031673431,0.11450313031673431,1.025,1.025,3.025,1140.375,-0.06909629702568054,0.030990101397037506,2.3765499591827393,-0.06912730261683464,0.1392059326171875,0
56,0.22666876018047333,0.22666876018047333,1.05,1.05,3.05,1111.375,0.05564031004905701,0.030436120927333832,2.670729637145996,0.05560987442731857,0.1356658935546875,0
57,0.1150718703866005,0.1150718703866005,1.025,1.025,3.025,1081.675048828125,-0.04981379956007004,0.03798039257526398,1.9704898595809937,-0.049851779360324144,0.1320404052734375,0
58,0.2958080470561981,0.2958080470561981,1.1,1.1,3.1,1175.5,0.03457820788025856,0.03229751717299223,2.4591915607452393,0.0345459058880806,0.14349365234375,0
59,0.06030937284231186,0.06030937284231186,0.95,0.95,2.95,1083.8499755859375,0.004138622432947159,0.0321683045476675,1.6920709609985352,0.004106453387066722,0.132305908203125,0
60,0.17326562106609344,0.17326562106609344,1.15,1.15,3.15,1166.0250244140625,0.008270841091871262,0.037614389322698116,2.013150215148926,0.008233225205913186,0.1423370361328125,0
61,0.12905104458332062,0.12905104458332062,1,1,3,1058.125,0.18249288201332092,0.0390703184530139,2.0417633056640625,0.18245380371809006,0.1291656494140625,0
62,0.09135312587022781,0.09135312587022781,0.975,0.975,2.975,1116.9000244140625,-0.028041109442710876,0.03270494565367699,1.989043951034546,-0.028073816327378154,0.13634033203125,0
