_step,critic/rewards/mean,critic/score/mean,tool_call_counts/mean,re_search/search_calls/mean,num_turns/mean,response_length/mean,actor/loss,actor/kl_loss,actor/grad_norm,actor/pg_loss,re_search/budget_utilization,response/aborted_ratio
1,0,0,0.8,0.8,2.8,1255.699951171875,0,0,0,0,0.3065673828125,0
2,0,0,0.4,0.4,2.4,1292.5,0,0,0,0,0.3155517578125,0
3,0,0,0.4,0.4,2.4,1081.5,0,0,0,0,0.2640380859375,0
4,0,0,0.8,0.8,2.8,2196.800048828125,0,0,0,0,0.536328125,0
5,0,0,0.05,0.05,2.05,556.7999877929688,0,0,0,0,0.1359375,0
6,0,0,0.4,0.4,2.4,1107.0999755859375,0,0,0,0,0.2702880859375,0
7,0,0,0.7,0.7,2.7,2001.3499755859375,0,0,0,0,0.48861083984375,0
8,0,0,0.15,0.15,2.15,681.0499877929688,0,0,0,0,0.16627197265625,0
9,0,0,0.25,0.25,2.25,857.4000244140625,0,0,0,0,0.209326171875,0
10,0,0,0.6,0.6,2.6,1439.050048828125,0,0,0,0,0.35133056640625,0
11,0,0,0.35,0.35,2.35,892.0999755859375,0,0,0,0,0.2177978515625,0
12,0,0,0.7,0.7,2.7,1576.1500244140625,0,0,0,0,0.38480224609375,0
13,0,0,0.65,0.65,2.65,1431.8499755859375,0,0,0,0,0.34957275390625,0
14,0,0,0.15,0.15,2.15,975.25,0,0,0,0,0.23809814453125,0
15,0,0,0.15,0.15,2.15,922.25,0,0,0,0,0.22515869140625,0
16,0,0,0.4,0.4,2.4,1142.949951171875,0,0,0,0,0.27904052734375,0
17,0,0,0.6,0.6,2.6,1733.050048828125,0,0,0,0,0.42310791015625,0
18,0,0,0.2,0.2,2.2,1115.1500244140625,0,0,0,0,0.27225341796875,0
19,0,0,0.5,0.5,2.5,1066.3499755859375,0,0,0,0,0.26033935546875,0
20,0,0,0.15,0.15,2.15,921.3499755859375,0,0,0,0,0.22493896484375,0
21,0,0,0.15,0.15,2.15,708.2999877929688,0,0,0,0,0.1729248046875,0
22,0,0,0.25,0.25,2.25,1254.6500244140625,0,0,0,0,0.30631103515625,0
23,0,0,0.45,0.45,2.45,909.5999755859375,0,0,0,0,0.2220703125,0
24,0,0,1.05,1.05,3.05,2280,0,0,0,0,0.556640625,0
25,0,0,0.35,0.35,2.35,1682.3499755859375,0,0,0,0,0.41072998046875,0
26,0,0,0.05,0.05,2.05,545.25,0,0,0,0,0.13311767578125,0
27,0,0,0.45,0.45,2.45,1675.8499755859375,0,0,0,0,0.40914306640625,0
28,0,0,0,0,2,548.5499877929688,0,0,0,0,0.13392333984375,0
29,0,0,0.5,0.5,2.5,1281.199951171875,0,0,0,0,0.31279296875,0
30,0,0,0.65,0.65,2.65,1431.4000244140625,0,0,0,0,0.349462890625,0
31,0,0,0.4,0.4,2.4,1515.8499755859375,0,0,0,0,0.37008056640625,0
32,0,0,0.45,0.45,2.45,1336.3499755859375,0,0,0,0,0.32625732421875,0
33,0,0,0.3,0.3,2.3,766.7999877929688,0,0,0,0,0.18720703125,0
34,0,0,0.1,0.1,2.1,713.5499877929688,0,0,0,0,0.17420654296875,0
35,0,0,0.5,0.5,2.5,1554.050048828125,0,0,0,0,0.37940673828125,0
36,0,0,0.45,0.45,2.45,1344.050048828125,0,0,0,0,0.32813720703125,0
37,0,0,0.2,0.2,2.2,1042.449951171875,0,0,0,0,0.25450439453125,0
38,0,0,1.05,1.05,3.05,1861.5,0,0,0,0,0.4544677734375,0
39,0,0,0.3,0.3,2.3,1088.8499755859375,0,0,0,0,0.26583251953125,0
40,0,0,0.15,0.15,2.15,891.0999755859375,0,0,0,0,0.2175537109375,0
41,0,0,0.05,0.05,2.05,603.4500122070312,0,0,0,0,0.14732666015625,0
42,0,0,0.5,0.5,2.5,1306.5999755859375,0,0,0,0,0.318994140625,0
43,0,0,0.45,0.45,2.45,1437.3499755859375,0,0,0,0,0.35091552734375,0
44,0,0,0.4,0.4,2.4,945.7999877929688,0,0,0,0,0.230908203125,0
45,0,0,0.1,0.1,2.1,761.0499877929688,0,0,0,0,0.18580322265625,0
46,0,0,0.4,0.4,2.4,918.7999877929688,0,0,0,0,0.22431640625,0
47,0,0,0.35,0.35,2.35,1455.75,0,0,0,0,0.35540771484375,0
48,0,0,0.65,0.65,2.65,1633.6500244140625,0,0,0,0,0.39884033203125,0
49,0,0,0.65,0.65,2.65,1242.199951171875,0,0,0,0,0.303271484375,0
50,0,0,0.55,0.55,2.55,1453.9000244140625,0,0,0,0,0.3549560546875,0
