_step,critic/rewards/mean,critic/score/mean,tool_call_counts/mean,re_search/search_calls/mean,num_turns/mean,response_length/mean,actor/loss,actor/kl_loss,actor/grad_norm,actor/pg_loss,re_search/budget_utilization,response/aborted_ratio
1,0,0,0.15,0.15,2.15,405.8500061035156,0,0,0,0,0.09908447265625,0
2,0,0,0.1,0.1,2.1,533.25,0,0,0,0,0.13018798828125,0
3,0,0,0.1,0.1,2.1,392.6499938964844,0,0,0,0,0.09586181640625,0
4,0,0,0.65,0.65,2.65,759.7999877929688,0,0,0,0,0.185498046875,0
5,0,0,0.2,0.2,2.2,529.7000122070312,0,0,0,0,0.1293212890625,0
6,0,0,0.3,0.3,2.3,510.95001220703125,0,0,0,0,0.12474365234375,0
7,0,0,0.25,0.25,2.25,752.1500244140625,0,0,0,0,0.18363037109375,0
8,0,0,0.1,0.1,2.1,460.3999938964844,0,0,0,0,0.11240234375,0
9,0,0,0.3,0.3,2.3,528.2999877929688,0,0,0,0,0.1289794921875,0
10,0,0,0.2,0.2,2.2,459.3999938964844,0,0,0,0,0.112158203125,0
11,0,0,0.2,0.2,2.2,467.8999938964844,0,0,0,0,0.1142333984375,0
12,0,0,0.35,0.35,2.35,671.0999755859375,0,0,0,0,0.1638427734375,0
13,0,0,0.2,0.2,2.2,472.3500061035156,0,0,0,0,0.11531982421875,0
14,0,0,0.2,0.2,2.2,582.4500122070312,0,0,0,0,0.14219970703125,0
15,0,0,0.35,0.35,2.35,649.4500122070312,0,0,0,0,0.15855712890625,0
16,0,0,0.05,0.05,2.05,412.8500061035156,0,0,0,0,0.10079345703125,0
17,0,0,0.2,0.2,2.2,474.3500061035156,0,0,0,0,0.11580810546875,0
18,0,0,0.15,0.15,2.15,463.45001220703125,0,0,0,0,0.11314697265625,0
19,0,0,0.1,0.1,2.1,468.54998779296875,0,0,0,0,0.11439208984375,0
20,0,0,0.1,0.1,2.1,452.8999938964844,0,0,0,0,0.1105712890625,0
21,0,0,0.25,0.25,2.25,557.7999877929688,0,0,0,0,0.136181640625,0
22,0,0,0.25,0.25,2.25,477.45001220703125,0,0,0,0,0.11656494140625,0
23,0,0,0.15,0.15,2.15,535.7999877929688,0,0,0,0,0.130810546875,0
24,0,0,0.6,0.6,2.6,764.0999755859375,0,0,0,0,0.1865478515625,0
25,0,0,0.3,0.3,2.3,619.2999877929688,0,0,0,0,0.1511962890625,0
26,0,0,0.15,0.15,2.15,576.5,0,0,0,0,0.1407470703125,0
27,0,0,0.25,0.25,2.25,554.0999755859375,0,0,0,0,0.1352783203125,0
28,0,0,0.05,0.05,2.05,606.7000122070312,0,0,0,0,0.1481201171875,0
29,0,0,0.2,0.2,2.2,600.8499755859375,0,0,0,0,0.14669189453125,0
30,0,0,0.3,0.3,2.3,658.5499877929688,0,0,0,0,0.16077880859375,0
31,0,0,0.1,0.1,2.1,481.8999938964844,0,0,0,0,0.1176513671875,0
32,0,0,0.25,0.25,2.25,521.5,0,0,0,0,0.1273193359375,0
33,0,0,0.35,0.35,2.35,583.1500244140625,0,0,0,0,0.14237060546875,0
34,0,0,0.3,0.3,2.3,528.2000122070312,0,0,0,0,0.128955078125,0
35,0,0,0.1,0.1,2.1,489.54998779296875,0,0,0,0,0.11951904296875,0
36,0,0,0.05,0.05,2.05,356.20001220703125,0,0,0,0,0.086962890625,0
37,0,0,0.35,0.35,2.35,557.75,0,0,0,0,0.13616943359375,0
38,0,0,0.4,0.4,2.4,599.9500122070312,0,0,0,0,0.14647216796875,0
